Date,Unit,DayOfWeek,IsHoliday,HolidayName,HolidayType,SurgeriesPerDay,PatientsPerDay,LinenUsage
27/11/2022,OR,Sunday,FALSE,,,3,3,47
27/11/2022,MedSurg,Sunday,FALSE,,,0,56,179
27/11/2022,ICU,Sunday,FALSE,,,0,11,55
27/11/2022,Maternity,Sunday,FALSE,,,0,9,27
28/11/2022,OR,Monday,FALSE,,,14,14,255
28/11/2022,MedSurg,Monday,FALSE,,,0,60,180
28/11/2022,ICU,Monday,FALSE,,,0,11,47
28/11/2022,Maternity,Monday,FALSE,,,0,10,27
29/11/2022,OR,Tuesday,FALSE,,,18,18,317
29/11/2022,MedSurg,Tuesday,FALSE,,,0,49,150
29/11/2022,ICU,Tuesday,FALSE,,,0,9,37
29/11/2022,Maternity,Tuesday,FALSE,,,0,8,15
30/11/2022,OR,Wednesday,FALSE,,,16,16,268
30/11/2022,MedSurg,Wednesday,FALSE,,,0,53,170
30/11/2022,ICU,Wednesday,FALSE,,,0,10,45
30/11/2022,Maternity,Wednesday,FALSE,,,0,9,30
01/12/2022,OR,Thursday,FALSE,,,15,15,273
01/12/2022,MedSurg,Thursday,FALSE,,,0,56,180
01/12/2022,ICU,Thursday,FALSE,,,0,11,51
01/12/2022,Maternity,Thursday,FALSE,,,0,9,37
02/12/2022,OR,Friday,FALSE,,,17,17,319
02/12/2022,MedSurg,Friday,FALSE,,,0,67,220
02/12/2022,ICU,Friday,FALSE,,,0,13,35
02/12/2022,Maternity,Friday,FALSE,,,0,11,45
03/12/2022,OR,Saturday,FALSE,,,7,7,125
03/12/2022,MedSurg,Saturday,FALSE,,,0,64,202
03/12/2022,ICU,Saturday,FALSE,,,0,12,59
03/12/2022,Maternity,Saturday,FALSE,,,0,10,29
04/12/2022,OR,Sunday,FALSE,,,4,4,75
04/12/2022,MedSurg,Sunday,FALSE,,,0,56,164
04/12/2022,ICU,Sunday,FALSE,,,0,11,60
04/12/2022,Maternity,Sunday,FALSE,,,0,9,28
05/12/2022,OR,Monday,FALSE,,,18,18,333
05/12/2022,MedSurg,Monday,FALSE,,,0,61,172
05/12/2022,ICU,Monday,FALSE,,,0,12,48
05/12/2022,Maternity,Monday,FALSE,,,0,10,35
